player,team,positions,yahooXRank,yahooRank,yahooL7Adp,providerRank,providerAdp,engineBpvRank,engineSeasonRank,enginePerGameRank,engineNeutral9CatRank,gp,strengths,weaknesses,risk,availabilityScore,disagreementFlags,deltaEngineVsProvider,deltaEngineVsXRank,deltaYahooL7AdpVsProviderAdp,severity,tentativeClasses,evidence
Cam Northcott,YTI,SF/PF,190,192,,201,,229,262,180,178,45,,,VERY_HIGH,48,projection Δ vs bbm; Yahoo review: adp,-28,-39,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; Yahoo review: adp; GP 45, per-game rank 180 vs season-blended rank 229, risk VERY_HIGH; neutral 9-cat rank 178 vs BPV rank 229 (TO weight 0.75)"
Bram Lockhart,QST,SG/SF,156,176,153,172,,232,217,245,245,80,TO,REB; STL; BLK,LOW,97,,-60,-76,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 80, per-game rank 245 vs season-blended rank 232, risk LOW; neutral 9-cat rank 245 vs BPV rank 232 (TO weight 0.75)"
Blake Yarrow,ARC,C,189,179,,193,,233,263,186,177,45,TO,FT%; 3PM; STL,MODERATE,82,Yahoo review: adp,-40,-44,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 45, per-game rank 186 vs season-blended rank 233, risk MODERATE; neutral 9-cat rank 177 vs BPV rank 233 (TO weight 0.75)"
Gage Fairbourne,ALB,SF,77,58,83.4,83,,237,238,232,233,67,,STL,LOW,97,,-154,-160,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Eli Quill,JAD,C,182,174,173.7,169,,241,237,238,239,70,,3PM; PTS; STL,LOW,98,,-72,-59,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Zane Fairbourne,VIP,SF,172,186,160.4,178,,242,229,244,244,74,,PTS,LOW,97,,-64,-70,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Jalen Marlow,ZEP,PG,214,206,,191,,243,223,252,254,79,,PTS; REB; BLK,LOW,89,Yahoo review: adp,-52,-29,,MAJOR,SOURCE_DATA_MISMATCH; INTENTIONAL_ENGINE_BEHAVIOR,Yahoo review: adp; neutral 9-cat rank 254 vs BPV rank 243 (TO weight 0.75)
Kade Stroud,ARC,PG,129,123,129,134,,246,267,203,218,47,,REB; BLK,HIGH,59,,-112,-117,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 47, per-game rank 203 vs season-blended rank 246, risk HIGH; neutral 9-cat rank 218 vs BPV rank 246 (TO weight 0.75)"
Kellan Corvell,VIP,PG,196,216,,206,,252,236,263,267,80,,PTS; REB; BLK,LOW,99,Yahoo review: adp,-46,-56,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 80, per-game rank 263 vs season-blended rank 252, risk LOW; neutral 9-cat rank 267 vs BPV rank 252 (TO weight 0.75)"
Linus Calloway,HVN,SG/SF,194,204,,199,,257,246,262,265,76,,FG%,LOW,98,Yahoo review: adp,-58,-63,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Soren Draven,PHN,SF,130,140,131,140,,262,254,267,269,74,,FG%,LOW,99,,-122,-132,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Marek Quill,JAD,SG,180,191,180.2,179,,263,259,264,263,71,,REB; BLK,LOW,97,,-84,-83,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Milo Marlow,BOL,PF,177,188,177.2,171,,264,256,266,266,73,,PTS; STL,LOW,95,,-93,-87,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Yuri Ingram,IRN,PG,108,129,134.3,117,,266,264,270,280,72,,FG%; REB; STL; BLK,LOW,96,,-149,-158,,MAJOR,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 280 vs BPV rank 266 (TO weight 0.75)
Kade Marlow,TID,SG/SF,168,162,163.9,160,,269,265,277,278,76,TO,REB; STL; BLK,LOW,98,,-109,-101,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Kellan Abernet,ARC,SF/PF,133,138,145.5,139,,272,279,273,272,69,,STL,LOW,90,,-133,-139,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Eli Corvell,XEN,PG,201,185,191.1,194,,275,272,280,283,74,,PTS; REB; BLK,LOW,97,,-81,-74,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Pax Northcott,XEN,SF,198,201,,212,,278,280,275,271,69,TO,PTS; REB; BLK,LOW,90,Yahoo review: adp,-66,-80,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Finn Stroud,RVR,SG/SF,164,181,169.5,183,,290,283,294,294,77,TO,PTS; REB; STL; BLK,LOW,99,,-107,-126,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Vance Fairbourne,QST,SG,193,195,,204,,292,297,281,282,52,,PTS; REB,MODERATE,79,Yahoo review: adp,-88,-99,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 52, per-game rank 281 vs season-blended rank 292, risk MODERATE; neutral 9-cat rank 282 vs BPV rank 292 (TO weight 0.75)"
